observation_date,MEHOINUSCAA672N
1984-01-01,66480
1985-01-01,68600
1986-01-01,72570
1987-01-01,72940
1988-01-01,70670
1989-01-01,73780
1990-01-01,70960
1991-01-01,69240
1992-01-01,70010
1993-01-01,66700
1994-01-01,67680
1995-01-01,69250
1996-01-01,70760
1997-01-01,70850
1998-01-01,72080
1999-01-01,75270
2000-01-01,78070
2001-01-01,77080
2002-01-01,76410
2003-01-01,77790
2004-01-01,75770
2005-01-01,77430
2006-01-01,80430
2007-01-01,79000
2008-01-01,77960
2009-01-01,77070
2010-01-01,73520
2011-01-01,70100
2012-01-01,73480
2013-01-01,77400
2014-01-01,75930
2015-01-01,79940
2016-01-01,82980
2017-01-01,85710
2018-01-01,84560
2019-01-01,92330
2020-01-01,90840
2021-01-01,91350
2022-01-01,88690
2023-01-01,89870
