observation_date,MEHOINUSLAA672N
1984-01-01,49820
1985-01-01,53850
1986-01-01,52260
1987-01-01,51660
1988-01-01,47830
1989-01-01,51100
1990-01-01,47760
1991-01-01,52040
1992-01-01,51030
1993-01-01,51500
1994-01-01,49180
1995-01-01,52300
1996-01-01,55170
1997-01-01,59370
1998-01-01,55880
1999-01-01,56330
2000-01-01,51230
2001-01-01,54340
2002-01-01,54780
2003-01-01,52870
2004-01-01,56080
2005-01-01,55710
2006-01-01,53050
2007-01-01,58560
2008-01-01,54100
2009-01-01,62370
2010-01-01,53220
2011-01-01,53400
2012-01-01,50370
2013-01-01,59110
2014-01-01,53230
2015-01-01,57690
2016-01-01,52540
2017-01-01,53310
2018-01-01,59950
2019-01-01,61120
2020-01-01,59880
2021-01-01,64060
2022-01-01,60640
2023-01-01,57650
