observation_date,MEHOINUSMSA672N
1984-01-01,40570
1985-01-01,41730
1986-01-01,41310
1987-01-01,44790
1988-01-01,42390
1989-01-01,44520
1990-01-01,43010
1991-01-01,40060
1992-01-01,41260
1993-01-01,43440
1994-01-01,48650
1995-01-01,49660
1996-01-01,48640
1997-01-01,50870
1998-01-01,51280
1999-01-01,56030
2000-01-01,57200
2001-01-01,49190
2002-01-01,49740
2003-01-01,51640
2004-01-01,53500
2005-01-01,49180
2006-01-01,50500
2007-01-01,52840
2008-01-01,49830
2009-01-01,48160
2010-01-01,51680
2011-01-01,53970
2012-01-01,47220
2013-01-01,41170
2014-01-01,44590
2015-01-01,50300
2016-01-01,51180
2017-01-01,52960
2018-01-01,51320
2019-01-01,52940
2020-01-01,52800
2021-01-01,52230
2022-01-01,50540
2023-01-01,55060
