observation_date,MEHOINUSMTA672N
1984-01-01,51360
1985-01-01,51450
1986-01-01,50850
1987-01-01,49540
1988-01-01,51870
1989-01-01,52960
1990-01-01,49830
1991-01-01,51060
1992-01-01,53210
1993-01-01,51810
1994-01-01,52930
1995-01-01,51940
1996-01-01,52300
1997-01-01,52140
1998-01-01,55600
1999-01-01,53550
2000-01-01,54660
2001-01-01,52390
2002-01-01,56110
2003-01-01,53820
2004-01-01,52270
2005-01-01,55820
2006-01-01,59760
2007-01-01,61880
2008-01-01,58660
2009-01-01,55520
2010-01-01,55910
2011-01-01,52900
2012-01-01,58100
2013-01-01,55000
2014-01-01,64150
2015-01-01,64570
2016-01-01,71070
2017-01-01,70250
2018-01-01,69190
2019-01-01,71150
2020-01-01,66380
2021-01-01,72790
2022-01-01,75870
2023-01-01,79220
