observation_date,MEHOINUSNDA672N
1984-01-01,54610
1985-01-01,53920
1986-01-01,53800
1987-01-01,54630
1988-01-01,56210
1989-01-01,56390
1990-01-01,53850
1991-01-01,53260
1992-01-01,54080
1993-01-01,55040
1994-01-01,54170
1995-01-01,54430
1996-01-01,57370
1997-01-01,56510
1998-01-01,53360
1999-01-01,56350
2000-01-01,60030
2001-01-01,58370
2002-01-01,58310
2003-01-01,63760
2004-01-01,60370
2005-01-01,63120
2006-01-01,59680
2007-01-01,66910
2008-01-01,67860
2009-01-01,68750
2010-01-01,69080
2011-01-01,74030
2012-01-01,71860
2013-01-01,75310
2014-01-01,76240
2015-01-01,72130
2016-01-01,74940
2017-01-01,73630
2018-01-01,79780
2019-01-01,82780
2020-01-01,75010
2021-01-01,77140
2022-01-01,81840
2023-01-01,76960
