observation_date,MEHOINUSSDA672N
1984-01-01,51030
1985-01-01,46130
1986-01-01,49770
1987-01-01,51180
1988-01-01,52020
1989-01-01,53890
1990-01-01,52380
1991-01-01,50680
1992-01-01,52670
1993-01-01,54290
1994-01-01,56950
1995-01-01,55350
1996-01-01,53830
1997-01-01,53000
1998-01-01,57730
1999-01-01,61810
2000-01-01,60830
2001-01-01,64700
2002-01-01,61010
2003-01-01,62360
2004-01-01,63280
2005-01-01,64560
2006-01-01,66040
2007-01-01,65800
2008-01-01,70560
2009-01-01,62910
2010-01-01,61420
2011-01-01,62030
2012-01-01,63680
2013-01-01,68010
2014-01-01,66600
2015-01-01,69180
2016-01-01,71540
2017-01-01,69650
2018-01-01,71330
2019-01-01,75950
2020-01-01,82110
2021-01-01,82750
2022-01-01,69850
2023-01-01,81740
