observation_date,MEHOINUSVTA672N
1984-01-01,59360
1985-01-01,66110
1986-01-01,61530
1987-01-01,61490
1988-01-01,67640
1989-01-01,69950
1990-01-01,66290
1991-01-01,59970
1992-01-01,65700
1993-01-01,60810
1994-01-01,68580
1995-01-01,63290
1996-01-01,58990
1997-01-01,62570
1998-01-01,69330
1999-01-01,71740
2000-01-01,66030
2001-01-01,66530
2002-01-01,69260
2003-01-01,68260
2004-01-01,72860
2005-01-01,75860
2006-01-01,75570
2007-01-01,67180
2008-01-01,69330
2009-01-01,71830
2010-01-01,75740
2011-01-01,68120
2012-01-01,71620
2013-01-01,83410
2014-01-01,76210
2015-01-01,74740
2016-01-01,75760
2017-01-01,77930
2018-01-01,84050
2019-01-01,87830
2020-01-01,78680
2021-01-01,85190
2022-01-01,75060
2023-01-01,85190
