observation_date,MEHOINUSAKA672N
1984-01-01,85070
1985-01-01,88440
1986-01-01,78440
1987-01-01,80410
1988-01-01,77240
1989-01-01,80480
1990-01-01,83770
1991-01-01,83530
1992-01-01,83850
1993-01-01,84030
1994-01-01,86900
1995-01-01,89740
1996-01-01,96220
1997-01-01,85660
1998-01-01,89260
1999-01-01,88670
2000-01-01,88130
2001-01-01,93550
2002-01-01,85010
2003-01-01,81790
2004-01-01,84760
2005-01-01,83620
2006-01-01,82020
2007-01-01,89290
2008-01-01,87500
2009-01-01,84570
2010-01-01,78340
2011-01-01,75440
2012-01-01,82020
2013-01-01,92270
2014-01-01,84900
2015-01-01,94360
2016-01-01,94290
2017-01-01,95440
2018-01-01,82450
2019-01-01,92670
2020-01-01,87440
2021-01-01,90850
2022-01-01,93310
2023-01-01,98190
