observation_date,MEHOINUSAZA672N
1984-01-01,56330
1985-01-01,60710
1986-01-01,63790
1987-01-01,64720
1988-01-01,61680
1989-01-01,63820
1990-01-01,62290
1991-01-01,63220
1992-01-01,58890
1993-01-01,59720
1994-01-01,59940
1995-01-01,57750
1996-01-01,57680
1997-01-01,58440
1998-01-01,65310
1999-01-01,63820
2000-01-01,66340
2001-01-01,69640
2002-01-01,64000
2003-01-01,64960
2004-01-01,67500
2005-01-01,67690
2006-01-01,67830
2007-01-01,66930
2008-01-01,64150
2009-01-01,62790
2010-01-01,63510
2011-01-01,63860
2012-01-01,60620
2013-01-01,66980
2014-01-01,61830
2015-01-01,65640
2016-01-01,71100
2017-01-01,73060
2018-01-01,74710
2019-01-01,83540
2020-01-01,78480
2021-01-01,79310
2022-01-01,76370
2023-01-01,82660
