observation_date,MEHOINUSGAA672N
1984-01-01,52540
1985-01-01,53520
1986-01-01,60960
1987-01-01,64640
1988-01-01,61990
1989-01-01,61560
1990-01-01,58750
1991-01-01,55970
1992-01-01,57760
1993-01-01,61980
1994-01-01,60280
1995-01-01,63810
1996-01-01,59250
1997-01-01,65440
1998-01-01,68080
1999-01-01,68010
2000-01-01,69880
2001-01-01,69440
2002-01-01,69170
2003-01-01,66960
2004-01-01,63090
2005-01-01,68710
2006-01-01,71740
2007-01-01,68950
2008-01-01,63210
2009-01-01,59500
2010-01-01,59750
2011-01-01,60390
2012-01-01,62010
2013-01-01,59830
2014-01-01,62210
2015-01-01,63780
2016-01-01,66650
2017-01-01,70960
2018-01-01,66960
2019-01-01,66940
2020-01-01,69330
2021-01-01,68860
2022-01-01,70420
2023-01-01,72420
