observation_date,MEHOINUSIDA672N
1984-01-01,55450
1985-01-01,52790
1986-01-01,51900
1987-01-01,50220
1988-01-01,54720
1989-01-01,55110
1990-01-01,53940
1991-01-01,53720
1992-01-01,55570
1993-01-01,60700
1994-01-01,60410
1995-01-01,61150
1996-01-01,63280
1997-01-01,59620
1998-01-01,64590
1999-01-01,61760
2000-01-01,62720
2001-01-01,62370
2002-01-01,60750
2003-01-01,66860
2004-01-01,68280
2005-01-01,66090
2006-01-01,67190
2007-01-01,69720
2008-01-01,64840
2009-01-01,64220
2010-01-01,63720
2011-01-01,62340
2012-01-01,61750
2013-01-01,61710
2014-01-01,67080
2015-01-01,64850
2016-01-01,70440
2017-01-01,72810
2018-01-01,70450
2019-01-01,78000
2020-01-01,78060
2021-01-01,86130
2022-01-01,75460
2023-01-01,73910
