observation_date,MEHOINUSINA672N
1984-01-01,59860
1985-01-01,57650
1986-01-01,56850
1987-01-01,54490
1988-01-01,61350
1989-01-01,57890
1990-01-01,57400
1991-01-01,55720
1992-01-01,57230
1993-01-01,57700
1994-01-01,53360
1995-01-01,62470
1996-01-01,64080
1997-01-01,69410
1998-01-01,69960
1999-01-01,70450
2000-01-01,68150
2001-01-01,65850
2002-01-01,66120
2003-01-01,66940
2004-01-01,65160
2005-01-01,63490
2006-01-01,66010
2007-01-01,67260
2008-01-01,63610
2009-01-01,60830
2010-01-01,62490
2011-01-01,58380
2012-01-01,59480
2013-01-01,62970
2014-01-01,60330
2015-01-01,65310
2016-01-01,69850
2017-01-01,71920
2018-01-01,71850
2019-01-01,78840
2020-01-01,78150
2021-01-01,78600
2022-01-01,72810
2023-01-01,76910
