observation_date,MEHOINUSMDA672N
1984-01-01,78100
1985-01-01,76620
1986-01-01,76560
1987-01-01,84610
1988-01-01,85290
1989-01-01,80500
1990-01-01,82830
1991-01-01,76000
1992-01-01,74630
1993-01-01,78180
1994-01-01,75090
1995-01-01,76800
1996-01-01,80210
1997-01-01,83330
1998-01-01,88070
1999-01-01,90060
2000-01-01,90950
2001-01-01,87300
2002-01-01,90860
2003-01-01,82550
2004-01-01,87900
2005-01-01,90530
2006-01-01,92560
2007-01-01,93030
2008-01-01,87120
2009-01-01,88120
2010-01-01,86950
2011-01-01,90470
2012-01-01,92570
2013-01-01,88300
2014-01-01,95610
2015-01-01,92450
2016-01-01,91850
2017-01-01,100500
2018-01-01,103400
2019-01-01,113000
2020-01-01,110900
2021-01-01,109000
2022-01-01,112500
2023-01-01,102000
