observation_date,MEHOINUSNEA672N
1984-01-01,56250
1985-01-01,55430
1986-01-01,54460
1987-01-01,56300
1988-01-01,58700
1989-01-01,58830
1990-01-01,58580
1991-01-01,60780
1992-01-01,60270
1993-01-01,60700
1994-01-01,60900
1995-01-01,61620
1996-01-01,62010
1997-01-01,61920
1998-01-01,64120
1999-01-01,66640
2000-01-01,69620
2001-01-01,71120
2002-01-01,68940
2003-01-01,69390
2004-01-01,67400
2005-01-01,71690
2006-01-01,70000
2007-01-01,69700
2008-01-01,69360
2009-01-01,68090
2010-01-01,71110
2011-01-01,73050
2012-01-01,67260
2013-01-01,73370
2014-01-01,71390
2015-01-01,75970
2016-01-01,73930
2017-01-01,72910
2018-01-01,81060
2019-01-01,86370
2020-01-01,84520
2021-01-01,87470
2022-01-01,81480
2023-01-01,89190
