observation_date,MEHOINUSPAA672N
1984-01-01,53490
1985-01-01,58170
1986-01-01,59550
1987-01-01,61520
1988-01-01,62400
1989-01-01,64130
1990-01-01,61830
1991-01-01,62460
1992-01-01,59940
1993-01-01,60670
1994-01-01,61420
1995-01-01,64600
1996-01-01,63630
1997-01-01,66960
1998-01-01,68700
1999-01-01,65140
2000-01-01,70330
2001-01-01,70940
2002-01-01,68460
2003-01-01,67740
2004-01-01,67900
2005-01-01,69270
2006-01-01,70480
2007-01-01,68660
2008-01-01,70290
2009-01-01,66130
2010-01-01,65430
2011-01-01,65560
2012-01-01,66890
2013-01-01,70220
2014-01-01,69260
2015-01-01,75870
2016-01-01,75930
2017-01-01,75000
2018-01-01,77400
2019-01-01,83430
2020-01-01,82810
2021-01-01,81330
2022-01-01,75070
2023-01-01,79820
