observation_date,MEHOINUSWVA672N
1984-01-01,44280
1985-01-01,40640
1986-01-01,41180
1987-01-01,41630
1988-01-01,45160
1989-01-01,48450
1990-01-01,47190
1991-01-01,47610
1992-01-01,40660
1993-01-01,43890
1994-01-01,45140
1995-01-01,46560
1996-01-01,46030
1997-01-01,49060
1998-01-01,47020
1999-01-01,50540
2000-01-01,49050
2001-01-01,48390
2002-01-01,47290
2003-01-01,51700
2004-01-01,51370
2005-01-01,54520
2006-01-01,55860
2007-01-01,59660
2008-01-01,51950
2009-01-01,55590
2010-01-01,57930
2011-01-01,54930
2012-01-01,56120
2013-01-01,54840
2014-01-01,49650
2015-01-01,53800
2016-01-01,55230
2017-01-01,57460
2018-01-01,60670
2019-01-01,63480
2020-01-01,60800
2021-01-01,52450
2022-01-01,54540
2023-01-01,60410
